"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYL1",0.266892476418295,-0.179455914282777,0.882275577035319,-0.203401203607831,0.838821459130474,0.917050537120785
"MYL10",0.761101015663677,0.365352467364021,0.27984960018226,1.30553149665419,0.191711929366156,0.392104385366095
"MYL12A",9657.59443779387,0.0576519031535321,0.0711483108031202,0.810306000279682,0.417764327614022,0.625936246769169
"MYL12B",14651.7480949588,0.0090465971941146,0.0741304176096856,0.122036236754352,0.902870319957587,0.950992280032888
"MYL2",0.573767808367713,0.245041824083384,0.369061240060264,0.663959791722833,0.506716045955765,0.697743219601747
"MYL3",14.3881097491905,-0.186660039630695,0.21893804636444,-0.852570134475322,0.393897730417392,0.604777751767826
"MYL4",13.0516195575676,0.312700547913721,0.146577497770147,2.13334620027473,0.0328963368987241,0.124949594040501
"MYL5",557.614592950941,0.00609430462256339,0.107998991289654,0.0564292735495873,0.954999837182111,0.978327385102015
"MYL6",25855.8768435573,-0.0466948184226987,0.0802671812960274,-0.581742346856394,0.560740243049857,0.739989825236492
"MYL6B",1147.70551451216,-0.291395724732735,0.11971453547029,-2.43408808786675,0.0149293613636141,0.0733314445833907
"MYL7",1.38741031357605,-0.235564625265163,0.515112247154392,-0.457307366630245,0.647450135549273,0.800558081083628
"MYL9",2616.53539541066,0.329925128631417,0.140554251261618,2.34731518733871,0.0189092513776572,0.0857775104139076
"MYLIP",303.617697026185,0.166619590382504,0.106536624424089,1.56396536198898,0.117825703123674,0.289979567970268
"MYLK",3495.85954703729,0.143684208215816,0.126377751142859,1.13694227754847,0.255562416803855,0.467215205383989
"MYLK-AS1",29.5074408287629,-0.528785890991258,0.129365468070629,-4.08753509632538,4.35980736356242e-05,0.000976347980941543
"MYLK-AS2",0.33987966755119,-0.425329985502292,0.403035036029433,-1.05531764606001,0.291280073303876,0.506215615499805
"MYLK2",5.58075131492722,-0.184070501378252,0.167759064208254,-1.09723133141557,0.272540280118128,0.485631875554455
"MYLK3",13.3071193541573,-0.0141199283428727,0.157991642055471,-0.0893713626820536,0.928786781648032,0.964763322834693
"MYLK4",38.8817915671033,-0.0128728050494283,0.160608847562616,-0.0801500368428312,0.936117927074562,0.968557720914427
"MYLPF",6.98850020188149,-0.16956849194799,0.20914007442578,-0.810789096320069,0.417486797219983,0.625757591559738
"MYMK",2.49715207692585,0.60312971974996,0.316540518999521,1.90537919649671,0.0567307974519067,0.180105191670709
"MYMX",11.7674559008344,-0.589890308764018,0.221698492964543,-2.66077726048576,0.00779605112674284,0.0469469423308832
"MYNN",510.798338696268,0.0976378484488074,0.0478991564538107,2.03840434106517,0.0415095125219617,0.145578924567092
"MYO10",564.950195681372,0.693921111572976,0.168295871442825,4.12322123902322,3.73610537005798e-05,0.000866915577926378
"MYO15A",37.1618022082006,-0.223599716238536,0.162322805052924,-1.37750032206278,0.168357615287825,0.360838583386483
"MYO15B",2468.09608995412,-0.0753869638199455,0.132974814034161,-0.566926634697746,0.570764027505748,0.74788912043613
"MYO16",120.988319747858,-0.261518681008286,0.17046594875346,-1.53414029558778,0.124995141903922,0.30069058787769
"MYO16-AS1",0.200968699606544,-0.0709520651714854,0.525939004296411,-0.13490550157314,0.892686589692611,NA
"MYO18A",4072.72454632421,0.0449576555947141,0.100694676749325,0.446474997944867,0.655254168839516,0.805017095270184
"MYO18B",177.420559041948,-1.56814208803157,0.368696999177349,-4.25320003018866,2.10737172822841e-05,0.000549134933118314
"MYO19",1269.46620334253,-0.227159239522787,0.0815336247650066,-2.78608046897825,0.00533496262453036,0.0357096945341788
"MYO1A",168.244630535706,0.0579916348049058,0.234346653901586,0.247460903919112,0.804551544868328,0.89715684732354
"MYO1B",10632.0303420586,0.128161306567683,0.102053572200636,1.25582381688433,0.209179854483404,0.413944001956305
"MYO1C",5900.64412781994,0.122641223230323,0.0790618713626713,1.55120567116031,0.120852403521402,0.294587293591175
"MYO1D",2282.12292589593,0.105110007305017,0.132627535351945,0.792520248725828,0.42805738982296,0.634730580485715
"MYO1E",2132.746186127,0.315622335600947,0.119372021429342,2.64402271002646,0.00819271591610192,0.0484406047118669
"MYO1F",570.888984984914,0.00955551756474615,0.113499978786395,0.084189597803621,0.932905688576316,0.967089252193114
"MYO1G",194.111288011831,-0.0366655453695264,0.146076581576843,-0.251002213864367,0.801812397556148,0.896038877825354
"MYO1H",3.95523669310923,-0.187424622899291,0.173173738168107,-1.08229241270607,0.279122616293748,0.493082328608128
"MYO3A",1.39496468193267,1.20717201939156,0.471359507638783,2.56104311004298,0.0104358405696915,0.05748395280003
"MYO3B",18.8714667989598,-0.363057041161534,0.260122410360634,-1.39571611941544,0.162799998235023,0.35319180364659
"MYO5A",512.170687037012,0.237623725429422,0.114927178690384,2.06760253002978,0.038677413985114,0.13901951395905
"MYO5B",1621.30546257776,-0.145062059422786,0.10328296341361,-1.40451101157764,0.160166734973049,0.349810422111952
"MYO5C",622.093725108929,0.0706041316927609,0.101545385322367,0.695296309808865,0.486869626394095,0.681759074304904
"MYO6",1655.14862466864,0.188241465790934,0.0961455100223019,1.95788098422141,0.0502439797194044,0.165848973255778
"MYO7A",1279.32436941961,0.122708731405552,0.138369860908707,0.886816902175774,0.375177486153108,0.588140820197839
"MYO7B",321.34500555621,0.623268532878145,0.222812446744653,2.79727879651365,0.00515350425172182,0.0349142908771112
"MYO9A",312.694800449551,0.014560526188951,0.103234703709799,0.141042940655711,0.887836019650461,0.943790761016359
"MYO9B",2831.31359793626,-0.112737973222782,0.057693346575703,-1.95408968129196,0.0506906121925522,0.166837981605601
"MYOC",1.37231737578519,1.01739227620911,0.404943785285621,2.51242842384038,0.0119903425548103,0.0631985311184141
"MYOCD",33.0466314083554,1.14833463052753,0.208493937804594,5.50776028607498,3.6342782394466e-08,2.87593348559757e-06
"MYOD1",0.385539051386742,-1.17560368339931,0.911824859003156,-1.28928672188706,0.197298425416235,0.39917082921038
"MYOF",591.511477424061,0.244686176088854,0.152706058537725,1.60233443539771,0.109081674776182,0.274518327409529
"MYOG",0.333393781896013,-0.664650558079755,0.517369072725506,-1.28467392644552,0.198906253274192,0.401202416034825
"MYOM1",2246.01186582871,0.369427488045113,0.174645872291972,2.1152947000517,0.0344048379075824,0.128787637376664
"MYOM2",74.4427162865742,0.499817963823983,0.200658036213824,2.49089432576411,0.0127422012035684,0.0656796916052544
"MYOM3",18.4064702230263,0.659598595316156,0.175280276363125,3.76310791494691,0.000167814742848277,0.00272008823813369
"MYORG",4430.95084324037,-0.0893497968617753,0.113680592874916,-0.785972298368359,0.431883716350293,0.637992924543683
"MYOSLID",1.48577499711154,0.0717726000788605,0.219041899383946,0.327666077954586,0.743164154471023,0.861983878560951
"MYOT",3.7985559612619,0.417319259913117,0.270400148136824,1.54333961275033,0.122748397118387,0.297531440841307
"MYOZ1",9.72623217344723,0.436960509263315,0.210904063996051,2.07184489944915,0.0382799079170128,0.138059218457936
"MYOZ2",2.04039042780065,0.810738367074563,0.265816949412547,3.04998747772213,0.00228850907766673,0.0194785314625832
"MYOZ3",9.92305659292372,0.419609188970266,0.159368404843276,2.63295092514048,0.00846465769704631,0.0494822774039531
"MYPN",2.27602403274568,-0.872118881949502,0.246289562544288,-3.54103061835061,0.000398567323316118,0.0053000936863723
"MYPOP",344.797554395065,-0.201832102377712,0.0745129104474177,-2.70868633590875,0.00675501683173187,0.0423763789103464
"MYRF",2553.97520259981,0.193432775181,0.13117015494004,1.47467063120739,0.140301115541237,0.32281177737388
"MYRFL",11.1750370189356,0.0954016586635799,0.221942717991033,0.429848113635493,0.667306131071526,0.813492944340562
"MYRIP",1480.70011800086,-0.0366686117313232,0.212056943009164,-0.17291870386785,0.862715329556058,0.929682295978692
"MYSM1",482.047985987073,0.141203031929603,0.0991719195347737,1.42382070037569,0.154498381817003,0.342229488417124
"MYT1",20.3293777194971,0.44158727809903,0.241834394676551,1.82599037944807,0.067851710997781,0.20265592802594
"MYT1L",2.77172779676677,-0.0390356581165276,0.453186604782663,-0.0861359486458081,0.931358346919999,0.966338413057173
"MYT1L-AS1",0.0181877946305037,0.136296813121141,2.83463222847282,0.0480827148411319,0.961650321829374,NA
"MYZAP",20.0275854433043,-0.334012111006246,0.155220011388236,-2.15186243074557,0.0314081909950614,0.121132810163913
"MZB1",260.307312971394,-1.4147516714795,0.288062511769568,-4.91126617895776,9.04901490554875e-07,4.27909332084934e-05
"MZF1",514.606327367579,0.0596276015991516,0.0804777975381922,0.740919898694471,0.458742009534858,0.660579762914354
"MZF1-AS1",86.0110677496745,-0.147438950885024,0.103297856707625,-1.42731858708682,0.153488085411748,0.341041998781706
"MZT1",379.171074600129,-0.144707635172286,0.0766649446589462,-1.88753328938065,0.0590886332185723,0.185044068177396
"MZT2A",1602.31553618674,-0.321674105052266,0.115951144142691,-2.77422105172511,0.00553340653482653,0.0366001175578499
"MZT2B",3356.28647354856,-0.341070612667576,0.120002218162244,-2.8422025683429,0.00448030144544123,0.031659501708363
"N4BP1",1086.54550238655,-0.0194834625856332,0.0498856325258509,-0.39056260488502,0.696120571385058,0.832476110911231
"N4BP2",563.381105781887,0.103182717435917,0.110008794090046,0.937949718378502,0.348270250783301,0.562341785984473
"N4BP2L1",1102.65957017468,0.168138593223302,0.108041118877223,1.55624631594545,0.119649531654135,0.292631647205363
"N4BP2L2",1712.13295844221,0.0735626151511615,0.0648424555638485,1.13448225412633,0.256592313411364,0.468612772381013
"N4BP2L2-IT2",40.6428593145923,0.182393475230311,0.1089946385375,1.67341694672035,0.0942452439879138,0.249288614855285
"N4BP3",85.6832807173976,-0.0810600726674263,0.144722297077556,-0.560107698014127,0.575405980005044,0.751076752089147
"N6AMT1",303.335059006679,0.0554592601786847,0.0671055088105075,0.826448694924444,0.4085496102139,0.618316210158318
"NAA10",1932.00916076027,-0.202668642141973,0.107680967723916,-1.88212129242371,0.0598195489914042,0.186508625289197
"NAA11",34.8580080797787,-1.30075393637911,0.677795492510301,-1.91909499362647,0.0549723129477165,0.176239172184833
"NAA15",1105.30590793688,0.0755176249754325,0.0535301772711344,1.4107486435722,0.158318742324843,0.347418951331241
"NAA16",288.76151047354,0.0614710992733049,0.0702562161185096,0.87495602054079,0.381597835828858,0.594154631528634
"NAA20",3285.46433100448,-0.125193746854752,0.0774882395853692,-1.61564835547497,0.106170362780547,0.269464374686221
"NAA25",580.386581393461,0.03528913999536,0.0601929615271373,0.586266884035108,0.557696181436119,0.737686913319441
"NAA30",974.489134949491,0.0469616747382137,0.0543116097790842,0.86467101470999,0.387219382794101,0.598820543433319
"NAA35",424.519895538735,-0.0243325291280639,0.0592103419103307,-0.410950660695619,0.681108713718521,0.822322226028772
"NAA38",1657.12015568152,-0.083015677309082,0.121477205115077,-0.683384814710217,0.494363712931969,0.687933214560152
"NAA40",507.904387930074,-0.0829317853673117,0.0790009315999022,-1.04975705587014,0.293829824031654,0.508727102166606
"NAA50",3584.82951249749,-0.0113434431971748,0.0488609796690888,-0.232157506337333,0.816415681140502,0.904581346480623
"NAA60",1997.67791058798,-0.17734664576586,0.0685374301609843,-2.5875882032533,0.00966504476471449,0.0544920204240932
"NAA80",436.651165161321,-0.152648506247257,0.0933431669229347,-1.63534740977114,0.101976240257809,0.26275439672363
"NAAA",827.299183411767,0.229377411583861,0.114467286456424,2.00386869196189,0.0450841280774381,0.154373242818899
"NAALAD2",65.0922728946778,-0.0544228849645992,0.209660469228086,-0.259576281427633,0.795190634004115,0.892595535034667
"NAALADL1",225.369070381383,-0.117982592074614,0.215665088738766,-0.547063934940001,0.584334808482953,0.757014062319069
"NAALADL2",132.272263973759,0.191781339227574,0.179205422604107,1.07017598262777,0.284540102892173,0.498633640480659
"NAALADL2-AS3",0.027803194028203,0.0720157350813597,2.42085002432559,0.0297481191968603,0.976267935315646,NA
"NAB1",1317.09217948969,0.189797643671449,0.0647921247854863,2.92933198748816,0.00339691398153155,0.0259702716343363
"NAB2",934.671417409838,0.174477722021262,0.0838188722522506,2.08160426563812,0.0373786314672987,0.135802831012643
"NABP1",444.585777809032,0.173316737172581,0.115596823276866,1.4993209351218,0.133790393841763,0.31356892283856
"NABP2",1296.41773820927,-0.30332955665878,0.0755481383207768,-4.01505005154257,5.9433180834474e-05,0.00124293379662224
